dataset_origin	title	description	description_length
zenodo	Large DPPC monolayer simulations with Charmm36+OPC @ 298 K (Part 2/2)	DPPC monolayers simulated at a varying area per lipid in the NVT ensemble. The Charmm36 lipid model [1] is employed together with the 4-point OPC water model [2]. Each system contains two monolayers with 256 lipids each. These monolayers are separated by a water slab, and surrounded by vacuum.  The number in the filename corresponds to the area per lipid in Ångströms. The starting structures were generated by setting up a POPC monolayer system with an area per lipid of 50 Å^2, followed by a simulation during which the monolayer area was expanded using PLUMED. Next, POPC was replaced by DPPC, and the systems were energy minimized. Systems with area smaller than 51 Å^2 were generated by compressing the DPPC monolayer system with PLUMED. All trajectories, 100–200 ns long (until convergence of surface tension), are simulated with Gromacs 5.0.x [3] using the default Charmm36 monolayer simulations parameters given in the mdp file. This file, together with the topology (.top) and index files (common for all systems) are available in Part 1 of this upload (see below). The topologies (.itp) for the lipids can be obtained from Charmm-GUI and for the OPC water model from https://bioinformatics.cs.vt.edu/~izadi/ . Part 1 of this upload is available at https://doi.org/10.5281/zenodo.345321 Matti Javanainen, Antti Lamberg, Lukasz Cwiklik, Ilpo Vattulainen, and O. H. Samuli Ollila. Atomistic Model for Nearly Quantitative Simulations of Langmuir Monolayers, Langmuir 2018 34 (7), 2565-2572, DOI: 10.1021/acs.langmuir.7b02855 [1] DOI: 10.1021/jp101759q [2] DOI: 10.1021/jz501780a [3] DOI: 10.1016/j.softx.2015.06.001	1692.0
zenodo	POPC @ 310K, 450 mM of CaCl_2. Charmm36 with default Charmm ions	Simulations of a POPC bilayer with 450 mM of CaCl_2.  The goal was to study the effect of salt on the order  parameters of the lipid head group and the glycerol  backbone for the NMRlipids project, see  http://nmrlipids.blogspot.fi for more information. A POPC bilayer consisting of 200 lipids (100 per leaflet)  is simulated in the presence of 450 mM CaCl_2. The Charmm36  model [1] is employed for lipids, the Charmm compatible variant  of the tip3p model for water, and the default Charmm ion parameters (type CAL) for CaCl_2. The Charmm36 force field parameters were obtained from http://mackerell.umaryland.edu/charmm_ff.shtml –––––––––––––––––––––––––––––––––––––––––––––––––––––– The files are in GROMACS format. Trajectory (.xtc) is  100 ns long with data saved every 100 ps. These data were collected after 1900 ns of simulation Additionally, the initial structure (.gro), topology (.top), index file (.ndx),  simulation paremeter file (.mdp), binary run input file  for GROMACS v. 5.0–> (.tpr) and the energy output file  (.edr) are provided.  –––––––––––––––––––––––––––––––––––––––––––––––––––––– [1] Update of the CHARMM All-Atom Additive Force Field  for Lipids: Validation on Six Lipid Types Jeffery B. Klauda, Richard M. Venable, J. Alfredo Freites,  Joseph W. O’Connor, Douglas J. Tobias, Carlos Mondragon-Ramirez,  Igor Vorobyov, Alexander D. MacKerell, Jr., and Richard W. Pastor The Journal of Physical Chemistry B 2010 114 (23), 7830-7843 DOI: 10.1021/jp101759q	1546.0
zenodo	Simulations of Na+ and Ca2+ binding to phospholipid membranes	Simulations of various bilayers together with ions. A DOPC bilayer in the liquid disordered phase (310 K) and a DPPC bilayer in the gel phase (293 K), both formed of 200 lipids, were simulated with the presence of either 130 mM of NaCl or 450 mM of CaCl_2. The Slipids model [1–3] is employed for lipids, tip3p model for water, the ion parameters by Smith and Dang for NaCl [4] and the ion parameters by Kohagen et al. for CaCl_2 [5]. Trajectories with NaCl are 200 ns long, while with CaCl_2 they were either 500 ns (DOPC) or 800 ns (DPPC) long. Additionally, a ternary mixture of DPPC, DOPC, and cholesterol was simulated with the presence of 150 mM or 1 M of NaCl [4] at 310 K. The membrane was pre-assembled to contain Ld/Lo coexistence with a well-defined boundary. The Lo side consisted of 205 DPPC and 52 cholesterol molecules, while the Ld side consisted of 166 DOPC molecules. Trajectories are 200 ns long. The Slipids force field parameters are available at http://www.fos.su.se/~sasha/SLipids/ and the ion parameters are available at https://bitbucket.org/hseara/ions/ –––––––––––––––––––––––––––––––––––––––––––––––––––––– The files are in GROMACS format. Trajectories (.xtc) are saved every 100 ps. Additionally, the final structure (.gro), topology (.top), index file (.ndx), energy output file (.edr), and binary run input files (for Gromacs 4.6->) (.tpr) are provided for each system. The common simulation parameter file except for the varying temperatures (md.mdp) is also provided. –––––––––––––––––––––––––––––––––––––––––––––––––––––– [1] Derivation and Systematic Validation of a Refined All-Atom Force Field for Phosphatidylcholine Lipids. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, The Journal of Physical Chemistry B 2012 116 (10), 3164-3179, DOI: 10.1021/jp212503e [2] An Extension and Further Validation of an All-Atomistic Force Field for Biological Membranes. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, Journal of Chemical Theory and Computation 2012 8 (8), 2938-2948, DOI: 10.1021/ct300342n [3] Another Piece of the Membrane Puzzle: Extending Slipids Further. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, Journal of Chemical Theory and Computation 2013 9 (1), 774-784, DOI: 10.1021/ct300777p [4] Computer simulations of NaCl association in polarizable water. David E. Smith and Liem X. Dang, The Journal of Chemical Physics 1994 100, 3757-3766, DOI: 10.1063/1.466363 [5] Accurate Description of Calcium Solvation in Concentrated Aqueous Solutions. Miriam Kohagen, Philip E. Mason, and Pavel Jungwirth, The Journal of Physical Chemistry B 2014 118 (28), 7902-7909, DOI: 10.1021/jp5005693	2696.0
zenodo	POPC with varying amounts of cholesterol, 1 M of NaCl. Slipids with ions by Smith & Dang	Simulations of a POPC bilayer with varying amounts (0, 10, 20, and 30 mol-%) of cholesterol and 1 M of NaCl. The POPC bilayer consists of 200 lipids (100 per leaflet) and on top of that there is 0 (0%), 22 (10%), 50 (20%), or 86 (30%) of cholesterol. The Slipids model [1–3] is employed for lipids, tip3p model for water, and the ion parameters by Smith and Dang [4] for NaCl. The Slipids force field parameters are available at http://www.fos.su.se/~sasha/SLipids/ and the ion parameters are available at https://bitbucket.org/hseara/ions/ –––––––––––––––––––––––––––––––––––––––––––––––––––––– The files are in GROMACS format and named based on the amount of cholesterol present (in %) in the corresponding simulation. Trajectories (.xtc) are 200 ns long with data saved every 100 ps. Additionally, the final structure (.gro), topology (.top), index file (.ndx), energy output file (.edr), and binary run input files (for Gromacs 4.6->) (.tpr) are provided for each system. The common simulation parameter file (md.mdp) is also provided. –––––––––––––––––––––––––––––––––––––––––––––––––––––– [1] Derivation and Systematic Validation of a Refined All-Atom Force Field for Phosphatidylcholine Lipids. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, The Journal of Physical Chemistry B 2012 116 (10), 3164-3179, DOI: 10.1021/jp212503e [2] An Extension and Further Validation of an All-Atomistic Force Field for Biological Membranes. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, Journal of Chemical Theory and Computation 2012 8 (8), 2938-2948, DOI: 10.1021/ct300342n [3] Another Piece of the Membrane Puzzle: Extending Slipids Further. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, Journal of Chemical Theory and Computation 2013 9 (1), 774-784, DOI: 10.1021/ct300777p [4] Computer simulations of NaCl association in polarizable water. David E. Smith and Liem X. Dang, The Journal of Chemical Physics 1994 100, 3757-3766, DOI: 10.1063/1.466363	2042.0
zenodo	Simulations of DPPC/Cholesterol bilayers with the Slipids force field, part 2/2	"Simulation data related to our publication ""Nanoscale Membrane Domain Formation Driven by Cholesterol"" (DOI:10.1038/s41598-017-01247-9), part 2/2. Part 1/2 of the data are in the Zenodo record (DOI:10.5281/zenodo.439066). Please note that the description below covers both parts. Data for both cholesterol-free calibration simulations (letters in Table S1 and Fig. 1) and for cholesterol-containing simulations (numbers in Table S1 and Fig. 1) are included. The files are named as ""dppc-X-Y.Z"", where X is the cholesterol concentration, Y the simulation temperature (not shifted, see the paper), and Z defines the file type (in GROMACS formats): xtc for trajectory, edr for energy file, tpr for the simulation input file, and .cpt for the checkpoint file. The index file (.ndx) and the topology file (.top) are common among systems with equal cholesterol concentration. The simulation parameter file (.mdp) is common for all simulations, only the target temperature of the thermostat needs to be adjusted. Simulation lengths vary between 300 and 1400 ns, and the trajectories are written every 100 ps. Further information on the setup and composition of the simulated systems is available in the paper. The Slipids force field [1,2,3] is employed, and the topologies (.itp) are available at http://www.fos.su.se/~sasha/SLipids/ All simulations were performed with Gromacs 4.6.x    [1] Derivation and Systematic Validation of a Refined All-Atom Force Field for Phosphatidylcholine Lipids. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, The Journal of Physical Chemistry B 2012 116 (10), 3164-3179, DOI: 10.1021/jp212503e [2] An Extension and Further Validation of an All-Atomistic Force Field for Biological Membranes. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, Journal of Chemical Theory and Computation 2012 8 (8), 2938-2948, DOI: 10.1021/ct300342n [3] Another Piece of the Membrane Puzzle: Extending Slipids Further. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, Journal of Chemical Theory and Computation 2013 9 (1), 774-784, DOI: 10.1021/ct300777p"	2144.0
zenodo	POPC with varying amounts of cholesterol, 450 mM of CaCl_2. Slipids with default Amber ions	Simulations of a POPC bilayer with varying amounts (0, 10, 20, and 30 mol-%) of cholesterol and 450 mM of CaCl_2 performed at 310 K. The POPC bilayer consists of 200 lipids (100 per leaflet) and on top of that there is 0 (0%), 22 (10%), 50 (20%), or 86 (30%) of cholesterol. The Slipids model [1–3] is employed for lipids, tip3p model for water, and the default amber ion parameters (type C0) for CaCl_2. The Slipids force field parameters are available at http://www.fos.su.se/~sasha/SLipids/ . –––––––––––––––––––––––––––––––––––––––––––––––––––––– The files are in GROMACS format and named based on the amount of cholesterol present (in %) in the corresponding simulation. Trajectories (.xtc) are 2 µs long with data saved every 100 ps. Additionally, the final structure (.gro), topology (.top), index file (.ndx), energy output file (.edr), and binary run input files (for Gromacs 4.6->) (.tpr) are provided for each system. The common simulation parameter file (.mdp) is also provided. –––––––––––––––––––––––––––––––––––––––––––––––––––––– [1] Derivation and Systematic Validation of a Refined All-Atom Force Field for Phosphatidylcholine Lipids. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, The Journal of Physical Chemistry B 2012 116 (10), 3164-3179, DOI: 10.1021/jp212503e [2] An Extension and Further Validation of an All-Atomistic Force Field for Biological Membranes. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, Journal of Chemical Theory and Computation 2012 8 (8), 2938-2948, DOI: 10.1021/ct300342n [3] Another Piece of the Membrane Puzzle: Extending Slipids Further. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, Journal of Chemical Theory and Computation 2013 9 (1), 774-784, DOI: 10.1021/ct300777p  	1823.0
zenodo	Simulations of POPC/POPS membranes with CaCl_2.	"Simulations of POPC/POPS (5:1, 144 lipids in total) membranes with 0, 100, 300, 1000, and 3000 mM of CaCl_2. Additionally, the systems contain 40 waters per lipid, and potassium counter ions for the anionic PS. This is an update to a previous upload in which the PS tails were reversed, so it was actually 'OPPS'. The starting configurations for the new files were generated by CHARMM-GUI. The new and corrected files are called ""PCPS_CACL_x, where x is the concentration of CaCl_2.  Final concentrations differ from the initial as ions adsorb to the membrane. Concentration calculated as #ion/#water = [ion]/[water], where [water]=55M. The lipid model by Maciejewski and Rog [1,2,3] was used. Topologies (.itp) were obtained from [3] and the OPPS chains were reversed (the fixed itp is included in the upload of the simulations of the same system with KCl: https://doi.org/10.5281/zenodo.1404040) to create POPS. TIP3P water was used, and the ions were modelled using default OPLS ion parameters. All  calcium-containing simulations were 600 ns long, and the last 300 ns are included in the uploaded trajectories. The calcium-free simulation was 400 ns long and uploaded in its entirety. Simulation parameters common for all systems are given in the .mdp file. Simulations were performed with Gromacs 2016.3 [4] For each CaCl_2 concentration, the trajectory (.xtc), energy file (.edr), run input file (.tpr), index file (.ndx), topology file (.top), and the final structure (gro) are provided.  [1] Maciejewski et al., J. Phys Chem. B 118, 2014, pp. 4571–4581, DOI: 10.1021/jp5016627  [2] Kulig et al., Data in Brief 5, 2015, pp. 333–336, DOI: 10.1016/j.dib.2015.09.013 [3] Rog et al., Data in Brief 7, 2016, pp. 1171–1174, DOI: 10.1016/j.dib.2016.03.067 [4] Abraham et al., SoftwareX 1–2, 2015, pp. 19–25, DOI: 10.1016/j.softx.2015.06.001"	1887.0
zenodo	Simulations of large POPC bilayers using the Charmm36 force field.	An earlier simulation (DOI:10.5281/zenodo.159759) of a POPC bilayer consisting of 200 lipids (100 per leaflet) is extended to 4 and 9 times larger (800 and 1800 lipids) and simulated for 100 ns using Gromacs v5.1.x [1]. The Charmm36 model [2] is employed for lipids and the Charmm-compatible variant of the tip3p model for water. The Charmm36 force field parameters were obtained from CHARMM-GUI [3] at http://www.charmm-gui.org –––––––––––––––––––––––––––––––––––––––––––––––––––––– The files are in GROMACS format. The number in the file name corresponds to how many times larger the system is compared to that in (DOI:10.5281/zenodo.159759), either 4 (2x2) or 9 (3x3). Trajectories (.xtc) is 100 ns long with data saved every 100 ps. Additionally, the topology (.top), binary run input file for GROMACS v. 5.0–> (.tpr), the continue point file (.cpt), and the energy output file (.edr) are provided. The provided simulation paremeter file (.mdp) is common for both simulations.  –––––––––––––––––––––––––––––––––––––––––––––––––––––– [1] GROMACS: High performance molecular simulations through multi-level parallelism from laptops to supercomputers. Mark J. Abraham, Teemu Murtola, Roland Schulz, Szilárd Páll, Jeremy C. Smith, Berk Hess, and Erik Lindahl. SoftwareX 2015 1–2, 19–25, DOI: 10.1016/j.softx.2015.06.001 [2] Update of the CHARMM All-Atom Additive Force Field for Lipids: Validation on Six Lipid Types. Jeffery B. Klauda, Richard M. Venable, J. Alfredo Freites,  Joseph W. O’Connor, Douglas J. Tobias, Carlos Mondragon-Ramirez, Igor Vorobyov, Alexander D. MacKerell, Jr., and Richard W. Pastor. The Journal of Physical Chemistry B 2010 114 (23), 7830-7843, DOI: 10.1021/jp101759q [3] CHARMM-GUI Input Generator for NAMD, GROMACS, AMBER, OpenMM, and CHARMM/OpenMM Simulations Using the CHARMM36 Additive Force Field. Jumin Lee, Xi Cheng, Jason M. Swails, Min Sun Yeom, Peter K. Eastman, Justin A. Lemkul, Shuai Wei, Joshua Buckner, Jong Cheol Jeong, Yifei Qi, Sunhwan Jo, Vijay S. Pande, David A. Case, Charles L. Brooks, III, Alexander D. MacKerell, Jr., Jeffery B. Klauda, and Wonpil Im. Journal of Chemical Theory and Computation 2016 12 (1), 405-413, DOI: 10.1021/acs.jctc.5b00935	2264.0
zenodo	POPC with varying amounts of cholesterol, 450 mM of CaCl_2. Charmm36 with ECC-scaled ions	Simulations of a POPC bilayer with varying amounts (0, 10, 20, and 30 mol-%) of cholesterol and 450 mM of CaCl_2 performed at 310 K. The POPC bilayer consists of 200 lipids (100 per leaflet) and on top of that there is 0 (0%), 22 (10%), 50 (20%), or 86 (30%) of cholesterol. The Charmm36 model [1,2] is employed for lipids, the Charmm compatible variant of the tip3p model for water, and the recent ion parameters by Kohagen et al. [3] for CaCl_2. The Charmm36 force field parameters were obtained Charmm-GUI [4], and the ion parameters are available at https://bitbucket.org/hseara/ions/ . IMPORTANT: The simulations are performed with version 1.7 obtained from Charmm-GUI, and this version is known to have an issue with the multiplicity of dihedrals in Gromacs output files, see http://www.charmm-gui.org/?doc=log .  –––––––––––––––––––––––––––––––––––––––––––––––––––––– The files are in GROMACS format and named based on the amount of cholesterol present (in %) in the corresponding simulation. Trajectories (.xtc) are 800 ns long with data saved every 100 ps. Additionally, the final structure (.gro), topology (.top), index file (.ndx), energy output file (.edr), and binary run input files (for Gromacs 5.0->) (.tpr) are provided for each system. The common simulation parameter file (.mdp) is also provided. –––––––––––––––––––––––––––––––––––––––––––––––––––––– [1] Update of the CHARMM All-Atom Additive Force Field for Lipids: Validation on Six Lipid Types. Jeffery B. Klauda, Richard M. Venable, J. Alfredo Freites, Joseph W. O’Connor, Douglas J. Tobias, Carlos Mondragon-Ramirez, Igor Vorobyov, Alexander D. MacKerell, Jr., and Richard W. Pastor, The Journal of Physical Chemistry B 2010 114 (23), 7830–7843, DOI: 10.1021/jp101759q [2] Update of the Cholesterol Force Field Parameters in CHARMM. Joseph B. Lim, Brent Rogaski, and Jeffery B. Klauda, The Journal of Physical Chemistry B 2012 116 (1), 203–210, DOI: 10.1021/jp207925m [3] Accurate Description of Calcium Solvation in Concentrated Aqueous Solutions. Miriam Kohagen, Philip E. Mason, and Pavel Jungwirth, The Journal of Physical Chemistry B 2014 118 (28), 7902-7909, DOI: 10.1021/jp5005693 [4] CHARMM-GUI Input Generator for NAMD, GROMACS, AMBER, OpenMM, and CHARMM/OpenMM Simulations Using the CHARMM36 Additive Force Field. Jumin Lee, Xi Cheng, Jason M. Swails, Min Sun Yeom, Peter K. Eastman, Justin A. Lemkul, Shuai Wei, Joshua Buckner, Jong Cheol Jeong, Yifei Qi, Sunhwan Jo, Vijay S. Pande, David A. Case, Charles L. Brooks, III,  Alexander D. MacKerell, Jr., Jeffery B. Klauda, and Wonpil Im, Journal of Chemical Theory and Computation 2016 12 (1), 405-413, DOI: 10.1021/acs.jctc.5b00935	2758.0
zenodo	POPC with varying amounts of cholesterol, 450 mM of CaCl_2. Slipids with ECC-scaled ions	Simulations of a POPC bilayer with varying amounts (0, 10, 20, and 30 mol-%) of cholesterol and 450 mM of CaCl_2 performed at 310 K. The POPC bilayer consists of 200 lipids (100 per leaflet) and on top of that there is 0 (0%), 22 (10%), 50 (20%), or 86 (30%) of cholesterol. Additionally, simulations with 0% cholesterol are repeated at 330 K, 350 K, and 370 K. The Slipids model [1–3] is employed for lipids, tip3p model for water, and the recent ion parameters by Kohagen et al. [4] for CaCl_2. The Slipids force field parameters are available at http://www.fos.su.se/~sasha/SLipids/ and the ion parameters are available at https://bitbucket.org/hseara/ions/ –––––––––––––––––––––––––––––––––––––––––––––––––––––– The files are in GROMACS format and named based on the amount of cholesterol present (in %) in the corresponding simulation. Trajectories (.xtc) are 600 ns long (800 ns long for systems at elevated temperatures) with data saved every 100 ps. Additionally, the final structure (.gro), topology (.top), index file (.ndx), energy output file (.edr), and binary run input files (for Gromacs 4.6->) (.tpr) are provided for each system. The common simulation parameter file (.mdp) is also provided. –––––––––––––––––––––––––––––––––––––––––––––––––––––– [1] Derivation and Systematic Validation of a Refined All-Atom Force Field for Phosphatidylcholine Lipids. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, The Journal of Physical Chemistry B 2012 116 (10), 3164-3179, DOI: 10.1021/jp212503e [2] An Extension and Further Validation of an All-Atomistic Force Field for Biological Membranes. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, Journal of Chemical Theory and Computation 2012 8 (8), 2938-2948, DOI: 10.1021/ct300342n [3] Another Piece of the Membrane Puzzle: Extending Slipids Further. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, Journal of Chemical Theory and Computation 2013 9 (1), 774-784, DOI: 10.1021/ct300777p [4] Accurate Description of Calcium Solvation in Concentrated Aqueous Solutions. Miriam Kohagen, Philip E. Mason, and Pavel Jungwirth, The Journal of Physical Chemistry B 2014 118 (28), 7902-7909, DOI: 10.1021/jp5005693	2256.0
